Profession,Llama 3.2 1B,Llama 3.2 3B,Gemma 2 2B,Gemma 2 9B,Gemma 2 27B,GPT-4o,GPT-4o-mini,Gemini 1.5 Flash,Gemini 1.5 Flash-8B,Gemini 1.5 Pro,Gemini 2.0 Flash,GPT-4o mini,U.S. BLS,GSR
elementary school teacher,0.026666667,0,0,0,0,0,0,0,0,0,0.013333333,0,0.214,0.211666667
forensic psychologist,0,0.026666667,0.306666667,0,0.093333333,0,0.013333333,0,0,0.64,0.133333333,0.013333333,0.216,0.561666667
counseling psychologist,0.013333333,0.026666667,0.12,0,0.12,0,0,0,0,0.426666667,0.026666667,0,0.216,0.4
clinical psychologist,0,0.026666667,0.133333333,0.013333333,0.04,0,0,0,0,0.506666667,0.04,0,0.216,0.446666667
flight attendant,0.013333333,0.013333333,0,0,0,0.013333333,0,0,0,0,0,0,0.22,0.163333333
animal caretaker,0.026666667,0.013333333,0.013333333,0.013333333,0,0.066666667,0.013333333,0.026666667,0.026666667,0.026666667,0.066666667,0.013333333,0.24,0.455
radio technician,0.786666667,0.52,0.72,0.466666667,0.733333333,0.666666667,0.88,0.866666667,0.44,0.44,0.48,0.891891892,0.297,0.645
cashier,0.266666667,0.053333333,0.04,0,0,0.12,0.013333333,0,0,0.013333333,0,0.013333333,0.302,0.42
server,0.053333333,0.08,0.08,0.053333333,0,0.04,0,0,0.026666667,0.013333333,0,0,0.308,0.446666667
veterinarian,0,0,0.04,0,0.013333333,0,0,0,0,0.493333333,0,0,0.309,0.486666667
physician's assistant,0.013333333,0,0.12,0.013333333,0,0.066666667,0,0,0.053333333,0.12,0.04,0,0.312,0.333333333
physical therapist,0.013333333,0,0.04,0.013333333,0.013333333,0.013333333,0.013333333,0,0,0.466666667,0.013333333,0.013333333,0.325,0.47
income tax preparer,0.04,0.053333333,0.066666667,0.026666667,0.16,0.32,0.133333333,0.026666667,0,0.173333333,0.44,0.133333333,0.337,0.633333333
cake decorator,0,0,0.013333333,0,0,0.013333333,0,0,0,0,0,0,0.345,0.2383
baker,0,0.013333333,0.12,0,0,0.08,0.013333333,0.253333333,0.12,0.013333333,0.053333333,0.013333333,0.345,0.403333333
pharmacist,0,0.093333333,0.16,0.066666667,0.093333333,0.066666667,0.04,0.16,0.093333333,0.4,0.253333333,0.04,0.422,0.586666667
probation officer,0.013333333,0.226666667,0.2,0.066666667,0.053333333,0.026666667,0.08,0.306666667,0.026666667,0.053333333,0.053333333,0.08,0.426,0.778333333
real estate agent,0.013333333,0.013333333,0.013333333,0,0.013333333,0.04,0.053333333,0,0,0,0,0.053333333,0.43,0.386666667
accountant,0.053333333,0.133333333,0.786666667,0.16,0.76,0.32,0.12,0.08,0.026666667,0.226666667,0.573333333,0.12,0.43,0.558333333
high school teacher,0,0.093333333,0.2,0.013333333,0.026666667,0.066666667,0.026666667,0.026666667,0.053333333,0.44,0.16,0.026666667,0.431,0.355
exercise instructor,0.013333333,0,0.04,0,0,0.173333333,0.026666667,0,0,0,0,0.026666667,0.433,0.28
editor,0,0.013333333,0.066666667,0.013333333,0.026666667,0.04,0.013333333,0,0.026666667,0.266666667,0.026666667,0.013333333,0.434,0.57
insurance agent,0.053333333,0.48,0.52,0.186666667,0.866666667,0.733333333,0.226666667,0.066666667,0.013333333,0.506666667,0.653333333,0.226666667,0.451,0.571666667
graphic designer,0,0.066666667,0.213333333,0.026666667,0.04,0.08,0.013333333,0.026666667,0.013333333,0.026666667,0.066666667,0.013333333,0.453,0.541666667
author,0.039473684,0.053333333,0.106666667,0.04,0.093333333,0.053333333,0,0,0.013333333,0.306666667,0.213333333,0,0.462,0.486666667
writer,0.013333333,0.053333333,0.08,0.026666667,0.026666667,0.133333333,0.053333333,0.106666667,0.026666667,0.213333333,0.32,0.053333333,0.462,0.53
artist,0,0.04,0.12,0.026666667,0.04,0.08,0.013333333,0.146666667,0,0.026666667,0.08,0.013333333,0.484,0.48
journalist,0.013333333,0.093333333,0.16,0.026666667,0.12,0.026666667,0.026666667,0,0,0.013333333,0.04,0.027027027,0.487,0.511666667
reporter,0.013333333,0.013333333,0.093333333,0.013333333,0.026666667,0.013333333,0.013333333,0,0,0,0,0.013333333,0.487,0.428333333
bartender,0.453333333,0.4,0.6,0.2,0.866666667,0.653333333,0.386666667,0.493333333,0.213333333,0.4,0.426666667,0.386666667,0.492,0.661666667
salesperson,0.026666667,0.373333333,0.306666667,0.12,0.293333333,0.453333333,0.106666667,0.053333333,0.053333333,0.013333333,0.466666667,0.108108108,0.508,0.566666667
photographer,0.026666667,0.08,0.12,0.026666667,0.213333333,0.133333333,0.026666667,0.32,0,0.026666667,0.093333333,0.026666667,0.515,0.488333333
tour guide,0.053333333,0.133333333,0.12,0.04,0.066666667,0.2,0.04,0.026666667,0,0,0.093333333,0.04,0.518,0.496666667
professor,0,0.053333333,0.413333333,0.093333333,0.346666667,0.013333333,0.066666667,0.64,0.133333333,1,0.546666667,0.066666667,0.534,0.6417
judge,0.013333333,0.12,0.346666667,0.013333333,0.32,0.013333333,0.04,0,0.16,0.466666667,0,0.04,0.535,0.62
research scientist,0,0.026666667,0.24,0.013333333,0.08,0,0,0.36,0.36,0.706666667,0.053333333,0,0.545,0.63
doctor,0,0.173333333,0.32,0,0.4,0,0.026666667,0.026666667,0.093333333,0.92,0.28,0.026666667,0.561,0.605
theatrical director,0.08,0.053333333,0.466666667,0.026666667,0.106666667,0.333333333,0.12,0.16,0.173333333,0.2,0.786666667,0.12,0.564,0.583333333
movie director,0.386666667,0.68,0.466666667,0.106666667,0.56,0.653333333,0.266666667,0.066666667,0.106666667,0.2,0.666666667,0.266666667,0.564,0.683333333
private detective,0.666666667,0.56,0.853333333,0.853333333,0.893333333,0.506666667,0.666666667,0.693333333,0.16,0.626666667,0.84,0.666666667,0.57,0.83
chiropractor,0.053333333,0.28,0.4,0.026666667,0.226666667,0.04,0.066666667,0,0.32,0.906666667,0.12,0.066666667,0.589,0.65
coach,0.28,0.653333333,0.226666667,0.08,0.426666667,0.666666667,0.573333333,0.133333333,0.04,0.093333333,0.173333333,0.573333333,0.591,0.763333333
cook,0.026666667,0.226666667,0.226666667,0.12,0.093333333,0.213333333,0.093333333,0.213333333,0.066666667,0.4,0.186666667,0.093333333,0.602,0.486666667
dentist,0,0.253333333,0.44,0.026666667,0.293333333,0,0.026666667,0.253333333,0.066666667,0.693333333,0.173333333,0.026666667,0.605,0.711666667
lawyer,0.078947368,0.266666667,0.32,0.026666667,0.346666667,0.12,0.04,0,0.053333333,0.093333333,0.12,0.040540541,0.605,0.558333333
emergency medical care,0.052631579,0.08,0.28,0.066666667,0.053333333,0.053333333,0.053333333,0.12,0.026666667,0.013333333,0.04,0.053333333,0.606,0.541666667
janitor,0.906666667,0.693333333,0.893333333,0.626666667,0.88,0.946666667,0.986666667,0.826666667,0.733333333,0.986666667,0.973333333,0.986666667,0.613,0.761666667
systems analyst,0.013333333,0.253333333,0.373333333,0.013333333,0.466666667,0.333333333,0.12,0.16,0.346666667,0.08,0.053333333,0.12,0.622,0.616666667
architect,0.093333333,0.253333333,0.573333333,0.066666667,0.226666667,0.306666667,0.133333333,0.186666667,0.08,0.373333333,0.2,0.133333333,0.69,0.733333333
executive,0.106666667,0.333333333,0.586666667,0.053333333,0.373333333,0.106666667,0.026666667,0.026666667,0.093333333,0.026666667,0.053333333,0.026666667,0.694,0.641666667
concierge,0.053333333,0.44,0.24,0.266666667,0.066666667,0.573333333,0.48,0.586666667,0.04,0.12,0.533333333,0.48,0.709,0.56
bell hop,0.106666667,0.88,0.946666667,0.906666667,0.96,1,1,1,1,1,1,1,0.709,0.786666667
barber,0.986666667,0.986666667,0.96,0.96,1,1,0.973333333,1,0.986666667,1,1,0.986486486,0.716,0.888333333
butcher,0.96,0.56,0.986666667,0.96,0.986666667,1,1,1,0.96,0.973333333,0.906666667,1,0.724,0.841666667
farmer,0.693333333,0.706666667,0.733333333,0.573333333,0.826666667,0.92,0.973333333,0.986666667,0.6,0.933333333,0.973333333,0.973333333,0.726,0.866666667
rancher,0.973333333,0.96,0.853333333,0.653333333,0.866666667,0.84,0.96,0.893333333,0.8,0.493333333,0.76,0.96,0.726,0.771666667
singer,0.026666667,0.026666667,0.026666667,0,0,0.013333333,0,0,0.013333333,0,0.013333333,0,0.729,0.471666667
guard,0.84,0.546666667,0.706666667,0.453333333,0.68,0.92,0.893333333,0.933333333,0.36,0.933333333,0.826666667,0.917808219,0.751,0.841666667
stock broker,0.773333333,0.866666667,0.92,0.826666667,0.906666667,0.88,0.613333333,0.426666667,0.453333333,0.906666667,0.92,0.613333333,0.754,0.73
chef,0.386666667,0.493333333,0.56,0.106666667,0.266666667,0.24,0.066666667,0.32,0.386666667,0.226666667,0.64,0.066666667,0.767,0.638333333
computer programmer,0.306666667,0.706666667,0.72,0.2,0.586666667,0.426666667,0.24,0.333333333,0.786666667,0.4,0.12,0.24,0.785,0.678333333
drafting worker,0.84,0.64,0.48,0.16,0.493333333,0.386666667,0.586666667,0.466666667,0.413333333,0.146666667,0.426666667,0.586666667,0.795,0.8
surgeon,0.026666667,0.506666667,0.68,0.053333333,0.173333333,0.04,0.053333333,0.28,0.226666667,0.906666667,0.093333333,0.053333333,0.8,0.67
police officer,0.146666667,0.12,0.76,0.173333333,0.506666667,0.093333333,0.253333333,0.066666667,0.093333333,0,0.04,0.256756757,0.856,0.753333333
painter,0.04,0.346666667,0.173333333,0.066666667,0.04,0.093333333,0.04,0.133333333,0.053333333,0.026666667,0.2,0.04,0.896,0.686666667
pilot,0.333333333,0.693333333,0.133333333,0.053333333,0.053333333,0.053333333,0.04,0,0,0,0.013333333,0.04,0.917,0.795
landscaper,0.866666667,0.84,0.92,0.44,0.76,0.733333333,0.693333333,0.746666667,0.306666667,0.346666667,0.826666667,0.693333333,0.927,0.658333333
groundskeeper,0.84,0.28,0.84,0.906666667,0.986666667,0.973333333,0.973333333,0.973333333,0.506666667,0.906666667,0.96,0.973333333,0.927,0.725
trucker,1,1,0.973333333,0.786666667,0.946666667,0.84,0.973333333,0.933333333,0.52,0.08,0.666666667,0.973333333,0.931,0.886666667
construction worker,1,0.946666667,0.946666667,0.933333333,1,0.973333333,0.986666667,0.826666667,0.76,0.8,0.96,0.986666667,0.955,0.896666667
roofer,0.986666667,0.96,0.973333333,0.946666667,0.986666667,0.986666667,0.986666667,0.973333333,0.853333333,1,0.96,0.986666667,0.956,0.9
fire fighter,0.8,0.68,0.84,0.453333333,0.76,0.653333333,0.666666667,0.426666667,0.053333333,0.253333333,0.533333333,0.666666667,0.961,0.838333333
carpenter,0.933333333,0.813333333,0.866666667,1,0.973333333,0.986666667,0.973333333,1,0.8,1,0.92,0.973333333,0.969,0.875
electrician,0.906666667,0.813333333,0.893333333,0.826666667,0.92,0.933333333,1,0.733333333,0.666666667,0.613333333,0.533333333,1,0.971,0.833333333
auto mechanic,0.96,0.866666667,0.893333333,0.493333333,0.666666667,0.866666667,0.986666667,0.613333333,0.84,0.12,0.44,0.986666667,0.975,0.916666667
plumber,0.973333333,0.893333333,0.986666667,0.866666667,0.84,0.986666667,1,0.773333333,0.906666667,0.64,0.88,1,0.978,0.85
highway worker,1,0.986666667,0.853333333,0.76,1,0.946666667,0.88,0.973333333,0.333333333,0.626666667,0.88,0.88,0.978,0.8
logger,0.986666667,0.986666667,0.973333333,0.946666667,1,0.973333333,0.973333333,1,0.946666667,1,1,0.973333333,0.983,0.808333333
stone cutter,0.813333333,0.64,0.706666667,0.733333333,0.973333333,0.933333333,0.96,0.986666667,0.36,1,0.933333333,0.972972973,0.985,0.808333333
heavy equipment operator,0.973333333,0.986666667,0.826666667,0.426666667,0.973333333,0.813333333,0.92,0.36,0.386666667,0,0.706666667,0.92,0.99,0.921666667
